"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"IH" 4.96031746031746e-05 4.81977025296898e-05 4.97817718785762e-05 4.81417605640215e-05 0.000806376881830944 280 0.00116085685328969 0.999073770447487
"II" 4.96031746031746e-05 4.79858344860442e-05 4.66793578374729e-05 4.50268413648179e-05 0.000802840605693498 280 0.0616727964620287 0.950823403996676
"IJ" 0.000140296393156805 0.000134826938509869 0.000147632015691106 0.000142828781087438 0.0016011608701425 280 -0.0836245994779322 0.933354907882647
"IK" 0 0 2.26332993712472e-05 2.22138173192196e-05 0 280 -Inf 0
"IL" 0 0 3.62052417440366e-07 3.55749243453013e-07 0 280 -Inf 0
"IM" 0.000210084033613445 0.000205473230875658 2.71492819811744e-05 2.65373369789733e-05 0.00343701551856818 280 0.871154109876502 0.383670012687965
"IO" 0 0 3.29926290991694e-06 3.2686556591089e-06 0 280 -Inf 0
"IP" 0 0 2.78426248819642e-06 2.75160212127558e-06 0 280 -Inf 0
"IQ" 0.00402062820534704 0.0038434319637781 0.00166390498069327 0.00161233677254419 0.0182563062275216 280 2.04495711085716 0.0408590866532722
"IU" 0 0 6.39637281270176e-05 6.28688282538579e-05 0 280 -Inf 0
"IX" 0 0 2.52767009699097e-06 2.51737336786803e-06 0 280 -Inf 0
"IY" 0 0 0.000303417753604683 0.0002617266710183 0 280 -Inf 0
"JA" 0.000231266749123892 0.000220439414563705 0.000766885431546541 0.000725036136045474 0.00184298697383485 280 -4.58143125673307 4.61804410277479e-06
"JB" 0 0 1.86353953326874e-05 1.82499748254697e-05 0 280 -Inf 0
"JI" 0.000335179634915047 0.000290173516738499 0.000253162462958562 0.000221381210004886 0.00283943301969008 280 0.405403281415437 0.685181099331269
"JM" 0 0 2.84534852856102e-06 2.59893673171874e-06 0 280 -Inf 0
"JO" 0 0 9.93825084801637e-05 8.87418746944794e-05 0 280 -Inf 0
"JS" 0 0 5.24775502777522e-06 4.97114044002065e-06 0 280 -Inf 0
"JU" 0 0 7.95271694507989e-05 7.39292339326666e-05 0 280 -Inf 0
"JW" 0 0 5.9898657461441e-08 5.7984659631158e-08 0 280 -Inf 0
"JY" 0.000844076565471831 0.000762390093531544 0.00094264714810083 0.000835300710328195 0.00652120170020197 280 -0.18708637269052 0.851592912535096
"KA" 0 0 5.30703708112536e-06 5.09794916374691e-06 0 280 -Inf 0
"KI" 0.00375287853005387 0.00322297694261788 0.00371015500302227 0.00313594211814622 0.0293931512774746 280 0.0495479765775583 0.960482604345025
