"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"LQ" 6.81918919840431e-06 5.62334176420398e-06 0.00151712707137251 0.00122110463297877 8.1678522218225e-05 211 -216.163137144435 0
"MA" 0.00271998546871043 0.00209210270624173 0.00727344285669337 0.00549555865697917 0.010350032565337 211 -4.77660848210961 1.78276396190097e-06
"MC" 0.000155245561218914 0.000115212763141706 0.000235967572313731 0.000177136090149106 0.00119427988873336 211 -0.753163717993259 0.451351538903287
"ML" 0 0 3.93342680655631e-05 2.89332404975737e-05 0 211 -Inf 0
"MM" 0 0 1.4306982769641e-05 1.41467616531309e-05 0 211 -Inf 0
"MQ" 0 0 9.31734692973427e-05 7.99290996693075e-05 0 211 -Inf 0
"MR" 0 0 2.6300862501803e-05 2.54277648277705e-05 0 211 -Inf 0
"MU" 0 0 3.35544075384547e-06 3.16294951783636e-06 0 211 -Inf 0
"MW" 0 0 7.0819172258489e-06 6.61211186271855e-06 0 211 -Inf 0
"MY" 0.00251404037884457 0.0018441499572581 0.00341452757115404 0.00252673321105864 0.0151975772182243 211 -0.652412837787054 0.514134884835788
"NE" 0.00465489689283378 0.00373607101394103 0.00837921463650146 0.00657515985969941 0.0171048325701564 211 -2.41102316801873 0.0159078378929412
"NI" 0.00140364236574536 0.00115174783712335 0.00634007048959633 0.00512419533121828 0.00804335080414209 211 -7.17401669084483 7.28287256681697e-13
"NM" 0 0 7.20927576421401e-06 7.03946659176122e-06 0 211 -Inf 0
"NN" 0.000297293543739041 0.000260199658921652 0.00228502867899796 0.00196504583822412 0.00257258507540609 211 -9.62623993898275 6.19551369680768e-22
"NQ" 8.94214432620942e-05 8.2520638392306e-05 0.000312375389882808 0.000287357961883491 0.0011980498613207 211 -2.4835644056039 0.0130074810257175
"NS" 0 0 4.38645681777084e-05 4.25228018939641e-05 0 211 -Inf 0
"NU" 0 0 7.98698400886083e-05 7.75203525646678e-05 0 211 -Inf 0
"OA" 0.000676107055632311 0.000648790695176311 4.15428751387398e-05 4.00353264339768e-05 0.00541337830360424 211 1.63348689284385 0.102366635170001
"OE" 0 0 1.85523250966524e-06 1.83703322412203e-06 0 211 -Inf 0
"OI" 0 0 0.00050229419983677 0.000344758452462871 0 211 -Inf 0
"OM" 0 0 0.000138284857264306 0.000131965497643681 0 211 -Inf 0
