"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"BU" 0 0 1.14416364684455e-05 1.14293292904767e-05 0 523 -Inf 0
"BV" 0.0011230469234399 0.000596962432696355 0.0010931546181501 0.000619457075103851 0.00330072018978188 523 -0.155855175469135 0.876147178235436
"CN" 0.00936429886495991 0.00451799856425679 0.00816902258571579 0.00428097560301688 0.0116812749620384 523 0.464035297806643 0.642622456536128
"CO" 0.00221269186124741 0.00173987214237436 0.0015711359141938 0.00126247389472691 0.00860370060160629 523 1.26895545175123 0.204456953091149
"CQ" 0.0233146360258873 0.0164959722419823 0.0181105261189343 0.0132723878280715 0.0350573967025662 523 2.10285936378879 0.0354780649314591
"CT" 5.06595101724746e-05 3.50675131325165e-05 9.96568398123166e-05 7.05035081320806e-05 0.000498810484478991 523 -1.62465032901317 0.104237086683555
"CU" 0.00275823758126968 0.0016490630934214 0.00219520276223997 0.00138048280306171 0.00635520878561344 523 0.966485094531294 0.333801501910003
"DA" 0.00167472900996406 0.00121948825348364 0.00240068518781632 0.00180187787214754 0.00562729284451493 523 -2.36681848718779 0.0179417297631704
"DB" 0.00219951535899373 0.0017373515924525 0.00177799009562748 0.00143235830588903 0.0102551296593685 523 0.680142586459509 0.496414181560574
"DE" 4.06818274276881e-05 3.63474266958881e-05 0.000121425147059773 0.000109966110605272 0.000831064110337641 523 -2.02583638054338 0.0427815544453906
"DI" 0 0 2.41393190941796e-05 2.3889204992611e-05 0 523 -Inf 0
"DK" 0 0 5.0645101093316e-06 5.04294563629493e-06 0 523 -Inf 0
"DM" 0.032704541360749 0.0247818397068334 0.0175441965411795 0.0135299708075342 0.0748596935227381 523 3.43737934522456 0.000587372341723652
"DQ" 0.00168396594515666 0.00141541076317148 0.00753295033625412 0.00611749434372815 0.00956673306577755 523 -11.2402904263894 2.58530414115771e-29
"DR" 0.0107127141817865 0.00753829861792027 0.00885587091096486 0.00644525197408282 0.0213383681722662 523 1.17146235033669 0.24141298281851
"DS" 0.00330615370311803 0.00229099464676994 0.00634352446631275 0.00429779402917863 0.0132227572802726 523 -3.47082548077069 0.000518861100104183
"DT" 0 0 5.22660052831842e-06 5.19231249349352e-06 0 523 -Inf 0
"DW" 0 0 5.60180369546591e-05 5.15174516081778e-05 0 523 -Inf 0
"DX" 0.000452004815478063 0.00034233010412136 0.000639053278954281 0.000491457720008116 0.0034364439105168 523 -0.992429486916926 0.320988060789514
"DY" 0.000159203559857715 0.00014909017766714 0.000354251601454558 0.000332699832672435 0.0016907386101866 523 -2.48353273413236 0.0130086377801984
"EA" 7.90428230302331e-05 7.37126540485495e-05 0.000303893024080559 0.000284392007796899 0.00120971001760187 523 -3.98282793808811 6.81000601342117e-05
"EC" 0 0 3.45790461501333e-05 3.36079086745473e-05 0 523 -Inf 0
"EE" 0.000159337157425112 0.000149873180115197 0.000105946076751678 9.99416980676422e-05 0.00342639959995076 523 0.333263146634626 0.738935655548972
"EI" 0 0 5.48543636233514e-05 5.33450265676283e-05 0 523 -Inf 0
"EN" 0 0 0 0 0 523 NA NA
"EO" 0 0 1.21884272346019e-06 1.20962131095275e-06 0 523 -Inf 0
"EP" 0.000630294458201131 0.000591502505201901 0.000404497004897642 0.000381814021031931 0.00351600097046191 523 1.3638808713367 0.172605062109958
"EQ" 0.00554670366007749 0.00382659789523887 0.0101899752900275 0.00699364871759588 0.0144422128228016 523 -5.01501384754716 5.3029646330756e-07
"ER" 0.000425302703837772 0.000374586388751975 5.49198585833289e-05 4.89292780189196e-05 0.0036467918912702 523 2.04221014560479 0.0411306905274666
"ES" 0 0 1.4453384000232e-05 1.41698850140466e-05 0 523 -Inf 0
"ET" 0 0 8.96090793027364e-05 8.60419190759744e-05 0 523 -Inf 0
"EU" 0 0 0.000164665877880281 0.000155846035593657 0 523 -Inf 0
"EV" 0.000864329198796316 0.000760263887099392 0.000621928444638436 0.000551540079231641 0.0069898181438937 523 0.682899755067752 0.494670188735846
"EW" 2.65561929041853e-05 2.59107241977798e-05 4.22311973084473e-05 4.12803297892209e-05 0.000592463852641972 523 -0.593269072722639 0.553001092990818
"EX" 0 0 9.49029066997441e-05 9.16638473453532e-05 0 523 -Inf 0
"FA" 0 0 9.16242394267159e-06 9.08129057149313e-06 0 523 -Inf 0
"FE" 4.90268176692651e-05 4.42399749243819e-05 8.59643068653925e-05 7.70113567261021e-05 0.00101143212908001 523 -0.740984038387461 0.45870311836826
"FF" 0.000448524712234133 0.000346942282103754 0.00156155380010257 0.00117152037353073 0.00410943055178527 523 -4.58881966409308 4.45759300595506e-06
"FI" 0 0 1.33337429094489e-05 1.27592054026426e-05 0 523 -Inf 0
"FS" 0 0 1.80665339860411e-07 1.17100529271285e-07 0 523 -Inf 0
