"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"BK" 0 0 2.1170492168833e-06 2.07177544763316e-06 0 6032 -Inf 0
"BM" 0 0 1.43216466835786e-06 1.41165674750424e-06 0 6032 -Inf 0
"BP" 9.86800555766073e-06 9.41628923486062e-06 6.1487240726853e-06 5.87334457723669e-06 0.000556919957547113 6032 0.494085664746536 0.621245681451267
"BQ" 5.56317091841276e-07 4.79931792846272e-07 7.99825995644385e-06 6.91274739917147e-06 3.72744545998428e-05 6032 -13.4035695310678 5.76236237760562e-41
"BU" 4.36269719391316e-06 4.35778557902055e-06 1.14416364684455e-05 1.14293292904767e-05 0.000338449696504721 6032 -1.62274682346077 0.104643537469523
"BV" 0.000841693246126391 0.000464787832645974 0.0010931546181501 0.000619457075103851 0.00365773792164229 6032 -3.28414285504 0.00102293057250912
"CN" 0.0082768104655267 0.00418244279396313 0.00816902258571579 0.00428097560301688 0.0127676299156021 6032 -0.599378616509415 0.548920433215171
"CO" 0.0015018099225509 0.00119285711151161 0.0015711359141938 0.00126247389472691 0.00718784430373157 6032 -0.752221872131997 0.451917642469942
"CQ" 0.020613916605327 0.0148224667470826 0.0181105261189343 0.0132723878280715 0.0361517815725404 6032 3.33008080611427 0.00086820784002421
"CT" 5.21352591090964e-05 3.63727625944759e-05 9.96568398123166e-05 7.05035081320806e-05 0.000784128494847657 6032 -3.38056433362426 0.00072337138733755
"CU" 0.00270841357713085 0.0016574087841579 0.00219520276223997 0.00138048280306171 0.00763587992969646 6032 2.81666552839915 0.00485250306774057
"DA" 0.00230496916230859 0.00170178678805521 0.00240068518781632 0.00180187787214754 0.00878066526751593 6032 -0.885316662397077 0.375985865698518
"DB" 0.0017083961758028 0.00136081145275925 0.00177799009562748 0.00143235830588903 0.00821614502935167 6032 -0.676321364214795 0.498836631363597
"DE" 6.68466438564216e-05 6.01147670860295e-05 0.000121425147059773 0.000109966110605272 0.00187211052830333 6032 -2.06812149296292 0.0386286001150219
"DI" 1.05968114744206e-05 1.04965719472229e-05 2.41393190941796e-05 2.3889204992611e-05 0.000432392802666342 6032 -2.4055709998293 0.0161472139585806
"DK" 0 0 5.0645101093316e-06 5.04294563629493e-06 0 6032 -Inf 0
"DM" 0.0199667541088119 0.0152723941864721 0.0175441965411795 0.0135299708075342 0.0598943608713901 6032 2.25942755579888 0.0238568019261336
"DQ" 0.00665466855507745 0.00541838095957525 0.00753295033625412 0.00611749434372815 0.0280065327291513 6032 -1.93873717289125 0.0525333497930077
"DR" 0.00915973245517102 0.00654410282862213 0.00885587091096486 0.00644525197408282 0.0211258003777078 6032 0.363410877830184 0.716297977115028
"DS" 0.00455296510595949 0.00309113096222961 0.00634352446631275 0.00429779402917863 0.0176842831366866 6032 -5.29943081866142 1.16164240415461e-07
"DT" 0 0 5.22660052831842e-06 5.19231249349352e-06 0 6032 -Inf 0
"DW" 1.5035206207484e-05 1.37968947414085e-05 5.60180369546591e-05 5.15174516081778e-05 0.00057777555021407 6032 -5.07048616654407 3.96800758696796e-07
"DX" 0.000502235547166657 0.00038282395525749 0.000639053278954281 0.000491457720008116 0.00415061434420494 6032 -2.03274599590261 0.0420781917123189
"DY" 0.000262479986622047 0.000246145007707466 0.000354251601454558 0.000332699832672435 0.0043326538730026 6032 -1.55155778014632 0.120768071910792
"EA" 0.000240469950270913 0.000224626896225645 0.000303893024080559 0.000284392007796899 0.0037459107630088 6032 -1.23914170457656 0.215293024748906
"EC" 4.97707452018436e-05 4.83437096280363e-05 3.45790461501333e-05 3.36079086745473e-05 0.00181418388370447 6032 0.630845643775284 0.528141455720114
"EE" 0.00012380699590341 0.000116615213636502 0.000105946076751678 9.99416980676422e-05 0.00303913251565813 6032 0.426096737285797 0.670037357553593
"EI" 1.46208651941996e-05 1.42132104742951e-05 5.48543636233514e-05 5.33450265676283e-05 0.000630615863812675 6032 -4.81943113006011 1.43968139405711e-06
"EN" 0 0 0 0 0 6032 NA NA
"EO" 0 0 1.21884272346019e-06 1.20962131095275e-06 0 6032 -Inf 0
"EP" 0.000469005423217781 0.000441610935267859 0.000404497004897642 0.000381814021031931 0.00394139700966177 6032 1.17830916826938 0.238673374048434
