"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"DQ" 0.0025892430443355 0.00222048140552622 0.00420894568214781 0.00357736033760887 0.00999272023530609 158 -1.70681289031925 0.0878568357452804
"DR" 0.0157809380031702 0.0105048649637346 0.0269475247730445 0.017051078177572 0.0235227894105496 158 -3.49808106254869 0.000468618675482821
"DS" 0.000560929833800483 0.000424202388515403 0.00284008926512511 0.00210912901256842 0.00312377559567966 158 -6.78000022938603 1.20175691868195e-11
"DT" 0 0 8.34740427403974e-06 8.25515320693771e-06 0 158 -Inf 0
"DW" 0.00255523502162469 0.00222873505309993 0.000253844155734038 0.000224231125239389 0.0134052182195475 158 1.87958325352423 0.060164897358429
"DX" 0.000910105675271999 0.000659583898983193 0.00176939566978014 0.00123556586422601 0.00398893313476414 158 -1.81501689645944 0.0695213129330266
"DY" 0.00162984308987369 0.00149487909799926 0.000931643288636804 0.000847219815848979 0.00921637346074148 158 0.883313916913278 0.377066686578275
"EA" 0.00112340128113945 0.00102106657865419 0.000823993316696495 0.000746679609273743 0.00561224399449881 158 0.614547537085403 0.538853570209527
"EC" 7.2748435908628e-05 6.9847502503158e-05 8.54435351291298e-05 8.16706497648755e-05 0.000877211631192448 158 -0.169417106825017 0.865468568696829
"EE" 0.000218245307725884 0.000201496490110126 0.000392428128242701 0.000359364382564211 0.00252991219557793 158 -0.784362651629465 0.432827346823015
"EI" 7.2748435908628e-05 6.96716876303144e-05 0.000181205599896664 0.000173067881164852 0.000875044498758361 158 -1.48526160854538 0.137474537530451
"EN" 0 0 0 0 0 158 NA NA
"EO" 0 0 3.12103530983298e-07 3.09255386389034e-07 0 158 -Inf 0
"EP" 0.00584859338066147 0.00538430041719442 0.00449297289959411 0.00414836923427894 0.01570246128825 158 0.989361717802594 0.322486197611627
"EQ" 0.00795917323983676 0.00553123047520279 0.00566341788443326 0.00399035866503666 0.0305779967683908 158 0.633411615192829 0.52646488191758
"ER" 0.00257732123300852 0.00219298572364919 0.000715079042883843 0.000613694403993241 0.0106109219196278 158 1.87084442037468 0.0613666486003121
"ES" 0 0 0.000257543714000854 0.000249567590000123 0 158 -Inf 0
"ET" 0.000103755965968043 9.80741242038296e-05 0.000320051724675177 0.000302355305728194 0.00123158552056477 158 -2.08493408897328 0.0370752838235557
"EU" 0 0 0.00011173494646195 0.000105982209990631 0 158 -Inf 0
"EV" 0.000801256906345625 0.000689293615122085 0.00128626063539365 0.00109800742718421 0.00450918113345141 158 -1.13933168864962 0.25456483611673
"EW" 0.000207511931936086 0.000200332408374971 0.000234802484814294 0.000227005100620574 0.00177193768608912 158 -0.189211249009633 0.849927251477399
"EX" 0.00104889393874804 0.000997579962583 0.000698905166338072 0.000665584684430595 0.00673287922776647 158 0.61981149460669 0.535381900093842
"FA" 0 0 1.2139560005276e-05 1.20025626110732e-05 0 158 -Inf 0
"FE" 0 0 4.06729850151076e-05 3.6800840476819e-05 0 158 -Inf 0
"FF" 0.000421940928270042 0.000358250299796476 0.000421748038082666 0.000354474357551534 0.0044936250562806 158 0.010562264865331 0.991572688630964
"FI" 0.000124100273020601 0.000116339716417581 3.31158487203077e-05 3.08104086637523e-05 0.00146086894958588 158 0.735922772710721 0.461777697523248
"FS" 0 0 2.19261629225899e-07 1.27777499503038e-07 0 158 -Inf 0
"FU" 0 0 3.64473945501827e-05 3.45795227841694e-05 0 158 -Inf 0
"FY" 0.00446393681215531 0.00414956877522077 0.000639454872001921 0.000592668257982201 0.0342228090212255 158 1.30642537841929 0.191407940114674
"GA" 0.000154368632293918 0.000135025721783654 0.000506391018257423 0.000434335670628217 0.00169719347254698 158 -2.2167583008795 0.0266396124223742
"GC" 0 0 4.34924122930596e-05 4.32217858428991e-05 0 158 -Inf 0
