"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"IA" 0.0242612696505499 0.0146806354816795 0.0172091738253798 0.0110349385073841 0.0356478874487982 416 2.08589976494722 0.0369877035972725
"ID" 0 0 1.42591479815644e-05 1.39102911024509e-05 0 416 -Inf 0
"IF" 0 0 5.94872608969498e-05 5.71726428368316e-05 0 416 -Inf 0
"IG" 0.0018917688172481 0.00137700473186068 0.00431139232899385 0.00316189881627115 0.00854613850543767 416 -4.25979979627733 2.04610091311551e-05
"IH" 0 0 4.97817718785762e-05 4.81417605640215e-05 0 416 -Inf 0
"II" 0 0 4.66793578374729e-05 4.50268413648179e-05 0 416 -Inf 0
"IJ" 0 0 0.000147632015691106 0.000142828781087438 0 416 -Inf 0
"IK" 0 0 2.26332993712472e-05 2.22138173192196e-05 0 416 -Inf 0
"IL" 0 0 3.62052417440366e-07 3.55749243453013e-07 0 416 -Inf 0
"IM" 0 0 2.71492819811744e-05 2.65373369789733e-05 0 416 -Inf 0
"IO" 0 0 3.29926290991694e-06 3.2686556591089e-06 0 416 -Inf 0
"IP" 0 0 2.78426248819642e-06 2.75160212127558e-06 0 416 -Inf 0
"IQ" 0.000984572173009075 0.000959433632397118 0.00166390498069327 0.00161233677254419 0.00738630039473403 416 -1.8028867899656 0.0714059960424197
"IU" 0.0001232741617357 0.0001213844499889 6.39637281270176e-05 6.28688282538579e-05 0.00247511912296033 416 0.482194645597711 0.629667680156085
"IX" 0 0 2.52767009699097e-06 2.51737336786803e-06 0 416 -Inf 0
"IY" 0 0 0.000303417753604683 0.0002617266710183 0 416 -Inf 0
"JA" 0.00053722422632544 0.000504132284000243 0.000766885431546541 0.000725036136045474 0.00736086509483645 416 -0.612098191011051 0.540472794342303
"JB" 0 0 1.86353953326874e-05 1.82499748254697e-05 0 416 -Inf 0
"JI" 2.28937728937729e-05 2.02059795168842e-05 0.000253162462958562 0.000221381210004886 0.000412028061122516 416 -9.95851033170119 2.31505434465979e-23
"JM" 0 0 2.84534852856102e-06 2.59893673171874e-06 0 416 -Inf 0
"JO" 0 0 9.93825084801637e-05 8.87418746944794e-05 0 416 -Inf 0
"JS" 0 0 5.24775502777522e-06 4.97114044002065e-06 0 416 -Inf 0
"JU" 0 0 7.95271694507989e-05 7.39292339326666e-05 0 416 -Inf 0
"JW" 0 0 5.9898657461441e-08 5.7984659631158e-08 0 416 -Inf 0
"JY" 0.000325522608594879 0.000282394184271262 0.00094264714810083 0.000835300710328195 0.00296621052577593 416 -3.80186253276085 0.000143612406518947
"KA" 0 0 5.30703708112536e-06 5.09794916374691e-06 0 416 -Inf 0
"KI" 0.000392666039806441 0.000330967039968003 0.00371015500302227 0.00313594211814622 0.00280507859429556 416 -20.395325375707 1.83986673479534e-92
"KM" 0.0313344971453465 0.0195674709899913 0.0139576700819131 0.0095312168092173 0.0413971866697819 416 4.94478586860098 7.62276064754628e-07
"KU" 0 0 9.1407385378519e-06 9.00589780694986e-06 0 416 -Inf 0
"KV" 0 0 7.50491140743805e-06 7.34781550212014e-06 0 416 -Inf 0
"KY" 0 0 3.87757528354718e-06 3.85499612042514e-06 0 416 -Inf 0
"LE" 0 0 3.28319633544291e-05 3.24377072834255e-05 0 416 -Inf 0
"LI" 0.00290662689515013 0.00145722669666883 0.00531574608524175 0.00273092217344776 0.00686734825984742 416 -3.78288553003422 0.000155020718180814
"LJ" 0.000796070386405944 0.000585275951634091 0.00164256527428425 0.00119641266627901 0.0063076313022736 416 -1.97614469464896 0.0481383915954455
"LQ" 0.000138969706587671 0.000120272059721626 0.000363198745625917 0.000311329968005461 0.00187355504248435 416 -2.07991327817876 0.0375334878994298
"MA" 0.00629578755134279 0.00465208387880924 0.00593670028990882 0.00449935475973783 0.0264459847688086 416 0.117790094072421 0.906233978689534
"MC" 0.000720629173764446 0.00044279804266936 0.000864148137604241 0.000572700703791174 0.00338039168158616 416 -0.783786337584356 0.433165491879562
"ML" 0 0 8.02593340739016e-06 6.48427946807781e-06 0 416 -Inf 0
"MM" 4.21727395411606e-05 4.17046969685192e-05 6.57381958141777e-06 6.49881798333781e-06 0.000850579058491546 416 0.844203544145499 0.398555674416792
"MQ" 0 0 0.000103411475006537 8.73203595472342e-05 0 416 -Inf 0
"MR" 0 0 1.84727722291754e-05 1.78623798181764e-05 0 416 -Inf 0
"MU" 0 0 5.72072892760668e-06 5.22783752377593e-06 0 416 -Inf 0
"MW" 0 0 2.59739431578407e-05 2.41956915253913e-05 0 416 -Inf 0
"MY" 0.00173613598707881 0.00128409864197002 0.00327198249612285 0.00240069409618496 0.0148426893253544 416 -1.53436938145844 0.124938805743508
"NE" 0.00226083241219634 0.00186765946434245 0.00346007721183814 0.00284791215799607 0.0132129892171512 416 -1.51315573820452 0.130240104226026
"NI" 0.00478547224140439 0.00369360385337072 0.00870059929431603 0.00689029172303535 0.0188780675778902 416 -3.45373778519062 0.000552874657448163
"NM" 0 0 3.36711501749196e-06 3.3022962880088e-06 0 416 -Inf 0
"NN" 0.000146159091432792 0.000124938906749375 0.000984351171957393 0.000851086866654593 0.00174685228671356 416 -8.47843322637944 2.28246678363114e-17
"NQ" 0.000582257654626076 0.00053735121676997 0.000438004582802446 0.00040175552216137 0.00839320833283475 416 0.329506937204739 0.741772551330149
"NS" 2.82805429864253e-05 2.68183376439599e-05 0.000156276367289233 0.000149100332242497 0.000546946304961012 416 -4.55999626261985 5.11545312014374e-06
"NU" 0 0 0.000101257343244974 9.82742491203983e-05 0 416 -Inf 0
