"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"IO" 0 0 1.43903716977516e-06 1.43125440952604e-06 0 111 -Inf 0
"IP" 0 0 9.9518738356526e-07 9.88339457972811e-07 0 111 -Inf 0
"IQ" 0.000346500346500347 0.000338776118646722 0.000279161969174976 0.000273324970195152 0.0035664025578526 111 0.193351879555489 0.846683398795586
"IU" 0 0 5.88942701540055e-05 5.81799309807646e-05 0 111 -Inf 0
"IX" 0 0 1.28520819853646e-06 1.28214307616711e-06 0 111 -Inf 0
"IY" 0 0 1.10441473408796e-05 1.00537622677989e-05 0 111 -Inf 0
"JA" 0 0 0.000288585245837262 0.000276784828656487 0 111 -Inf 0
"JB" 0 0 1.54331547429046e-05 1.51880506077121e-05 0 111 -Inf 0
"JI" 0 0 0.000170452906014221 0.00014854123109707 0 111 -Inf 0
"JM" 0 0 8.47956212470619e-06 7.58826744998523e-06 0 111 -Inf 0
"JO" 0 0 0.000264524395184507 0.00023124422363205 0 111 -Inf 0
"JS" 0 0 2.1076713842922e-06 2.00714202315213e-06 0 111 -Inf 0
"JU" 0 0 5.7737657464953e-06 5.50379361218454e-06 0 111 -Inf 0
"JW" 0 0 4.46908998602069e-07 4.33884524286265e-07 0 111 -Inf 0
"JY" 0 0 0.000145883173002369 0.000133655330465249 0 111 -Inf 0
"KA" 0 0 2.47734858705335e-06 2.42059119277735e-06 0 111 -Inf 0
"KI" 0.0311202427543837 0.0246734686168164 0.0045668744612718 0.00372834184427192 0.0816713716344927 111 2.70193335888506 0.00689375780535086
"KM" 0.0261750008949866 0.0193472051420182 0.0146482011892006 0.0111139470942413 0.0553154255519602 111 1.56814767641595 0.11684667217137
"KU" 0 0 5.34755673294757e-06 5.279316801163e-06 0 111 -Inf 0
"KV" 0 0 3.69185694497361e-07 3.64714867862403e-07 0 111 -Inf 0
"KY" 0 0 6.43798436495631e-07 6.41599255266758e-07 0 111 -Inf 0
"LE" 0 0 1.18629911354862e-05 1.17776391301918e-05 0 111 -Inf 0
"LI" 0.00846987877540298 0.00436117485728552 0.0067463070819868 0.00350063853816338 0.0184762363339534 111 0.490701273579419 0.623637745590425
"LJ" 0.00353239970079325 0.00248810785420916 0.00351225220580222 0.00243589851717751 0.0110360387442408 111 0.0498421136767454 0.960248206508595
"LQ" 0 0 0.00151712707137251 0.00122110463297877 0 111 -Inf 0
"MA" 0.0035012070255191 0.00264376493113793 0.00727344285669337 0.00549555865697917 0.0100334789078657 111 -2.99452578172731 0.00274871824757707
"MC" 0 0 0.000235967572313731 0.000177136090149106 0 111 -Inf 0
"ML" 0 0 3.93342680655631e-05 2.89332404975737e-05 0 111 -Inf 0
"MM" 0 0 1.4306982769641e-05 1.41467616531309e-05 0 111 -Inf 0
"MQ" 0 0 9.31734692973427e-05 7.99290996693075e-05 0 111 -Inf 0
"MR" 0 0 2.6300862501803e-05 2.54277648277705e-05 0 111 -Inf 0
"MU" 0 0 3.35544075384547e-06 3.16294951783636e-06 0 111 -Inf 0
"MW" 0 0 7.0819172258489e-06 6.61211186271855e-06 0 111 -Inf 0
"MY" 0.000844594594594595 0.000641246221088743 0.00341452757115404 0.00252673321105864 0.00674016797307156 111 -2.94723190300238 0.00320632647707952
"NE" 0.00881830254867083 0.00703145797802537 0.00837921463650146 0.00657515985969941 0.0297397364381054 111 0.161649011004713 0.871582259628833
"NI" 0.0124252107381624 0.00988538758658843 0.00634007048959633 0.00512419533121828 0.0407899266280467 111 1.22977110282059 0.218782832236275
"NM" 0 0 7.20927576421401e-06 7.03946659176122e-06 0 111 -Inf 0
"NN" 0.00267300267300267 0.00228341070814151 0.00228502867899796 0.00196504583822412 0.0168654206277049 111 0.198879239988342 0.842357209212099
"NQ" 0 0 0.000312375389882808 0.000287357961883491 0 111 -Inf 0
"NS" 0 0 4.38645681777084e-05 4.25228018939641e-05 0 111 -Inf 0
"NU" 0 0 7.98698400886083e-05 7.75203525646678e-05 0 111 -Inf 0
"OA" 0.000579481711557183 0.000555986796382506 4.15428751387398e-05 4.00353264339768e-05 0.00444947562072973 111 1.22169138658223 0.221824354773761
"OE" 0 0 1.85523250966524e-06 1.83703322412203e-06 0 111 -Inf 0
"OI" 0.000125125125125125 8.54551160074411e-05 0.00050229419983677 0.000344758452462871 0.00090009104658477 111 -3.03517091989715 0.00240399408228721
"OM" 0 0 0.000138284857264306 0.000131965497643681 0 111 -Inf 0
"OO" 0 0 0.000131373861419201 0.000102682783748908 0 111 -Inf 0
"OP" 0 0 0.000294900500993688 0.000232096852849482 0 111 -Inf 0
"OR" 0 0 2.44767671110642e-06 2.40039067482488e-06 0 111 -Inf 0
"OT" 0.00040950040950041 0.000336366790631764 0.00105236362938865 0.000862507584132433 0.00353701455847703 111 -1.56720791897477 0.1170661000622
"OU" 0 0 3.84719805753667e-06 3.7768612455021e-06 0 111 -Inf 0
"OX" 0 0 7.55489021446354e-07 7.12975821974205e-07 0 111 -Inf 0
"OY" 0 0 2.01528883913272e-05 1.90879629264914e-05 0 111 -Inf 0
"OZ" 0 0 6.49148982451831e-06 5.5894998737563e-06 0 111 -Inf 0
"PA" 0 0 4.59996895611782e-06 4.45560971056978e-06 0 111 -Inf 0
"PC" 0 0 3.73394596080556e-05 3.69439164322567e-05 0 111 -Inf 0
"PD" 0 0 6.05228888532376e-07 6.02896394846245e-07 0 111 -Inf 0
"PE" 0 0 1.37865143651578e-05 1.36080870084014e-05 0 111 -Inf 0
"PF" 0 0 1.0483050584493e-07 1.04681662321909e-07 0 111 -Inf 0
"PG" 0 0 0 0 0 111 NA NA
"PH" 0 0 2.57311241619373e-07 2.55297190580512e-07 0 111 -Inf 0
"PI" 0 0 2.90657590932213e-05 2.77972546978559e-05 0 111 -Inf 0
"PJ" 0 0 4.60875541839812e-06 4.44271409823139e-06 0 111 -Inf 0
"PK" 0 0 5.19703581464068e-06 5.14842862264042e-06 0 111 -Inf 0
"PM" 0 0 8.46649047010796e-05 8.31001965500973e-05 0 111 -Inf 0
"PN" 0 0 9.35526070188284e-05 9.24279266227401e-05 0 111 -Inf 0
"PO" 0.000126887450831113 0.000122358094404457 0.00029723341637564 0.000286880506965832 0.00128857544224209 111 -1.34516856096113 0.178570806485309
"PQ" 0 0 1.51711816866855e-05 1.51311502643583e-05 0 111 -Inf 0
"PS" 0 0 0.000100592989269614 9.79103883775472e-05 0 111 -Inf 0
"PT" 0.000158052789631737 0.000125525991250947 0.000718906630548478 0.000566652184421137 0.00132225714316576 111 -3.51486309344333 0.0004399807479255
"PU" 0 0 2.87199933829679e-05 2.839266828892e-05 0 111 -Inf 0
"PW" 0.000858421446656741 0.000562327811489581 0.00126106694267299 0.000834667162160867 0.00370824975777856 111 -0.773754005088444 0.439076276795352
"PY" 0.0355261720149557 0.0217107602731917 0.0334712708968167 0.0202910328665664 0.0383995787590835 111 0.389529178783026 0.696884730157308
"PZ" 0 0 1.41553941521801e-05 1.4072051412972e-05 0 111 -Inf 0
"QA" 0.00673010905235611 0.00404643035955238 0.00843284478495015 0.00520217819691106 0.0121310920635309 111 -1.0037479706073 0.315500108559722
"QC" 0 0 2.193725937207e-06 2.14946721403658e-06 0 111 -Inf 0
"QD" 0 0 0 0 0 111 NA NA
"QE" 0.000738358650537607 0.000634204265418506 0.000325755830225283 0.000281567114475298 0.00407208270212113 111 0.9123741324789 0.361571801808112
"QF" 0 0 4.90746860107666e-06 4.84023095374721e-06 0 111 -Inf 0
"QG" 0 0 4.70244643078377e-06 4.65967307086674e-06 0 111 -Inf 0
"QH" 0 0 2.45310500545039e-06 2.43270300273856e-06 0 111 -Inf 0
"QJ" 0 0 1.64361652124952e-06 1.58541528854356e-06 0 111 -Inf 0
"QK" 0 0 2.71877272458994e-07 2.67799529278946e-07 0 111 -Inf 0
"QQ" 0 0 2.28393517922331e-05 2.26871253444174e-05 0 111 -Inf 0
"QU" 0.00156944274591333 0.00134503674900708 0.00131314589235962 0.00113997158918171 0.0104471279269758 111 0.20680282043018 0.836163853383292
"RA" 0.000600600600600601 0.00045549690681903 0.00018834832912618 0.000146135019771049 0.00477544591555497 111 0.682518404333743 0.494911209313365
"RB" 0 0 1.53225872912491e-05 1.43439735842203e-05 0 111 -Inf 0
"RE" 0 0 7.03670397687684e-07 6.99849617717324e-07 0 111 -Inf 0
"RO" 0 0 0.000232075641757778 0.000145108646158049 0 111 -Inf 0
"RP" 0 0 1.91182161631914e-05 1.54974827851359e-05 0 111 -Inf 0
"RQ" 0 0 3.27507208130208e-05 2.83453236145204e-05 0 111 -Inf 0
