"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"EI" 9.70949199937859e-06 9.39849622679074e-06 5.48543636233514e-05 5.33450265676283e-05 0.000333070088334301 1256 -4.6760998898076 2.92382228048056e-06
"EN" 0 0 0 0 0 1256 NA NA
"EO" 0 0 1.21884272346019e-06 1.20962131095275e-06 0 1256 -Inf 0
"EP" 0.000467477464769151 0.000439278127449031 0.000404497004897642 0.000381814021031931 0.00422771774775331 1256 0.481709811666185 0.630012105062278
"EQ" 0.00394730637925851 0.0027593141162284 0.0101899752900275 0.00699364871759588 0.0134809324014495 1256 -11.1316633105094 8.79783160487581e-29
"ER" 8.29352441613588e-06 7.33303201373699e-06 5.49198585833289e-05 4.89292780189196e-05 0.00025986274732529 1256 -5.67289744090276 1.40402293067163e-08
"ES" 1.20633082416522e-05 1.18110450231517e-05 1.4453384000232e-05 1.41698850140466e-05 0.000418546327884249 1256 -0.199732972661445 0.841689424875629
"ET" 1.39680411219131e-05 1.33637363968361e-05 8.96090793027364e-05 8.60419190759744e-05 0.000473593869237239 1256 -5.43867124093653 5.36794015398064e-08
"EU" 6.43809981629955e-05 6.12324200486132e-05 0.000164665877880281 0.000155846035593657 0.00193315469359437 1256 -1.7345301382276 0.082824063049867
"EV" 0.00128836990850563 0.00112485456353239 0.000621928444638436 0.000551540079231641 0.00715741353383747 1256 2.83877925930092 0.00452864731070468
"EW" 4.7959383150466e-05 4.68169089978645e-05 4.22311973084473e-05 4.12803297892209e-05 0.000917026044321015 1256 0.21397087714759 0.830569767897278
"EX" 2.26790194943061e-05 2.18517087489946e-05 9.49029066997441e-05 9.16638473453532e-05 0.000548438465720392 1256 -4.51125996820108 6.44436802396907e-06
"FA" 0 0 9.16242394267159e-06 9.08129057149313e-06 0 1256 -Inf 0
"FE" 0 0 8.59643068653925e-05 7.70113567261021e-05 0 1256 -Inf 0
"FF" 0.0012455931880465 0.000972322325623306 0.00156155380010257 0.00117152037353073 0.0116965448674518 1256 -0.603562580582303 0.546134497275847
"FI" 7.23798494499132e-05 6.85801284045423e-05 1.33337429094489e-05 1.27592054026426e-05 0.00243030239877586 1256 0.81401333119751 0.41563731390882
"FS" 0 0 1.80665339860411e-07 1.17100529271285e-07 0 1256 -Inf 0
"FU" 3.4616449736915e-05 3.25920298176723e-05 2.93970779881083e-05 2.75104088266098e-05 0.00115501942167221 1256 0.155922145879631 0.876094388915444
"FY" 0.000417336651984809 0.000382717800301387 0.00118639590812955 0.00108447964343842 0.00546564895147479 1256 -4.55032939473463 5.35620004104332e-06
"GA" 0.000417873887899254 0.000352413109868894 0.00112976401024442 0.000956024208828193 0.00419962251870062 1256 -5.09379872927193 3.50959349497075e-07
"GC" 0 0 5.98221142045862e-06 5.96011099089598e-06 0 1256 -Inf 0
"GM" 0.000391612620817523 0.00027694112351495 0.00141483338851615 0.000994780800965133 0.00345672537993856 1256 -7.35965406237384 1.84387441139959e-13
"GU" 3.5781525070424e-05 3.35325078144861e-05 3.99164721170541e-05 3.80964775561842e-05 0.000600410728571754 1256 -0.269394752699722 0.787625923698144
"GY" 0 0 0.000141774517277263 0.000139743680860363 0 1256 -Inf 0
"HA" 3.59742945875685e-05 3.42263081631867e-05 0.00014071467190548 0.000133184408737029 0.000868831022423107 1256 -4.03655478347592 5.42418640830212e-05
"HB" 0 0 0.00021976720761717 0.000199692182733574 0 1256 -Inf 0
"HE" 0.000120120603604596 9.36136455083079e-05 0.000522951263869937 0.000404806501590478 0.00154882976946921 1256 -7.12066822035169 1.07405054528023e-12
"HF" 5.15564145017883e-05 4.58110026718818e-05 0.000141010101434456 0.000124976257692178 0.00121314520587858 1256 -2.31268587834265 0.0207399159973048
"HI" 6.1274349742335e-05 5.44825307257853e-05 0.00030064749775225 0.000265417403122758 0.00141588956377154 1256 -5.27975564976252 1.29356277828622e-07
"HL" 0.00140927949018706 0.00111732523728845 0.0041120509656285 0.0031958824121104 0.00959865403698222 1256 -7.67443577732245 1.66148339419562e-14
"HQ" 0 0 7.38302757937544e-06 7.21392787999421e-06 0 1256 -Inf 0
