"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"DA" 0.00617376512198605 0.00407726796315373 0.00641944644008942 0.00418369482263549 0.0128616596874321 8446 -0.760465946510378 0.446976117084563
"DB" 0.00308071382939455 0.00229966350759226 0.00341903438651951 0.00252324436717022 0.00938230869588756 8446 -2.19003190639215 0.0285219229313622
"DE" 0.000150169720970057 0.000128979865820299 0.000366226825083344 0.000312854985538813 0.00194414526744548 8446 -8.69200153917799 3.56109256521576e-18
"DI" 5.42398951659432e-05 5.35158715703757e-05 4.36974994387372e-05 4.31623294536107e-05 0.00162947596361345 8446 0.583937726245456 0.559262210072186
"DK" 7.51163499134903e-06 7.47599204289024e-06 1.21072495997553e-05 1.20528501243557e-05 0.000449783952811271 8446 -0.935166687141095 0.349702403460446
"DM" 0.00530770913616361 0.00416597940440249 0.00637818119721692 0.00494350069236105 0.0247862287468451 8446 -2.88288536648723 0.00394050812424874
"DQ" 0.00300919488941678 0.00258304055296454 0.00420894568214781 0.00357736033760887 0.018433712364709 8446 -4.95722707371281 7.15063868394071e-07
"DR" 0.024328069857341 0.0156220281348125 0.0269475247730445 0.017051078177572 0.0291444340431858 8446 -4.50627145343391 6.59766749774837e-06
"DS" 0.0016984187371215 0.00127216907473883 0.00284008926512511 0.00210912901256842 0.00951921955412611 8446 -8.08032567693214 6.45940327537061e-16
"DT" 3.69997632015155e-06 3.65888627495021e-06 8.34740427403974e-06 8.25515320693771e-06 0.000336256999738222 8446 -1.25620190495418 0.209042776271205
"DW" 0.000207765109552905 0.000184345146036388 0.000253844155734038 0.000224231125239389 0.00378570764914294 8446 -0.968275012344151 0.332907040699047
"DX" 0.00129076560361427 0.000911251401188545 0.00176939566978014 0.00123556586422601 0.0053594777381231 8446 -5.56121113944306 2.67908830405879e-08
"DY" 0.000807529555982636 0.000736990122334765 0.000931643288636804 0.000847219815848979 0.00647283595039583 8446 -1.56505476149025 0.117570069628436
"EA" 0.000673643103608142 0.00061238185458779 0.000823993316696495 0.000746679609273743 0.00547238263580859 8446 -2.25537018083848 0.0241101028269884
"EC" 6.87975630602928e-05 6.58919791856937e-05 8.54435351291298e-05 8.16706497648755e-05 0.0015275184739545 8446 -0.949313105457391 0.342461390050686
"EE" 0.000290307208440809 0.000266804825954874 0.000392428128242701 0.000359364382564211 0.00302509358422689 8446 -2.81195256040292 0.00492417652517009
