"Q" "C" "Qworld" "Cworld" "sigma" "N" "score" "pvalue"
"DS" 0.00164212457110739 0.0012413011868653 0.00284008926512511 0.00210912901256842 0.0078614650575538 993 -3.4786017162924 0.000504037109042202
"DT" 3.14702920443102e-05 3.11406834326133e-05 8.34740427403974e-06 8.25515320693771e-06 0.000981241641611252 993 0.734953111294454 0.462368050781939
"DW" 8.04502078671987e-05 7.23558898250312e-05 0.000253844155734038 0.000224231125239389 0.00144907825554728 993 -3.30270473262718 0.000957571581021813
"DX" 0.000543312059299858 0.000394062994766919 0.00176939566978014 0.00123556586422601 0.00301932051305284 993 -8.78255762258979 1.59798657807494e-18
"DY" 0.00031789986879847 0.000293097222184807 0.000931643288636804 0.000847219815848979 0.00256603569869957 993 -6.80483796883405 1.01163030512862e-11
"EA" 0.000204899339796729 0.000187942024885379 0.000823993316696495 0.000746679609273743 0.0018004173571002 993 -9.77933489713323 1.38115143675951e-22
"EC" 2.56246652778098e-06 2.46848249970397e-06 8.54435351291298e-05 8.16706497648755e-05 7.77869760234744e-05 993 -32.0852037356393 7.09170838980035e-226
"EE" 7.28338163528914e-05 6.75919523609972e-05 0.000392428128242701 0.000359364382564211 0.00156014698028018 993 -5.89322960772924 3.78719586408222e-09
"EI" 5.90754544904181e-05 5.68435276946766e-05 0.000181205599896664 0.000173067881164852 0.00108673897724683 993 -3.37012895726608 0.000751330137089361
"EN" 0 0 0 0 0 993 NA NA
"EO" 0 0 3.12103530983298e-07 3.09255386389034e-07 0 993 -Inf 0
"EP" 0.0063459974496091 0.00579373863412598 0.00449297289959411 0.00414836923427894 0.0213913024413391 993 2.4238224983415 0.0153581100833305
"EQ" 0.00438646444304391 0.00299182841685058 0.00566341788443326 0.00399035866503666 0.0126506290288087 993 -2.48727456679376 0.0128726007946092
"ER" 0.00209416958400666 0.00175218292388985 0.000715079042883843 0.000613694403993241 0.00871955278947832 993 4.11442422765585 3.88147029165389e-05
"ES" 5.23937835116083e-05 5.05469924778793e-05 0.000257543714000854 0.000249567590000123 0.00112594857571104 993 -5.56998587903963 2.54759982092337e-08
"ET" 0.000283851322555754 0.00026742249739393 0.000320051724675177 0.000302355305728194 0.00339514143795833 993 -0.324227803423357 0.745765573974268
"EU" 9.49003899508046e-05 8.94740858882075e-05 0.00011173494646195 0.000105982209990631 0.00129114486010365 993 -0.402900103207043 0.687021715411067
"EV" 0.00141445779003134 0.00121054749786514 0.00128626063539365 0.00109800742718421 0.00912380473554866 993 0.388692200119757 0.697503852956699
"EW" 0.000184594335295053 0.000177604966997479 0.000234802484814294 0.000227005100620574 0.00253170139567712 993 -0.61487985807764 0.538634065535688
"EX" 0.000466935524820429 0.000442029616087859 0.000698905166338072 0.000665584684430595 0.00434317053046652 993 -1.6220052771417 0.104802218213916
"FA" 0 0 1.2139560005276e-05 1.20025626110732e-05 0 993 -Inf 0
"FE" 6.71366230278617e-05 6.02100279377297e-05 4.06729850151076e-05 3.6800840476819e-05 0.00189691300904933 993 0.388878156068217 0.697366281770877
"FF" 5.70354034304203e-05 4.88453574327229e-05 0.000421748038082666 0.000354474357551534 0.00123401185922743 993 -7.80458565687811 5.96973489753184e-15
"FI" 0 0 3.31158487203077e-05 3.08104086637523e-05 0 993 -Inf 0
"FS" 0 0 2.19261629225899e-07 1.27777499503038e-07 0 993 -Inf 0
"FU" 4.19603893924136e-05 3.99197127875954e-05 3.64473945501827e-05 3.45795227841694e-05 0.00125777075249983 993 0.133791906398959 0.893567127411918
"FY" 0.00042623086690177 0.000398081870587087 0.000639454872001921 0.000592668257982201 0.00911958177918504 993 -0.672375928902979 0.501344402934788
"GA" 0.000157833886193043 0.000138351337071652 0.000506391018257423 0.000434335670628217 0.00207804260956984 993 -4.48837257788136 7.17693308125369e-06
"GC" 7.10167353873723e-05 7.06044156627006e-05 4.34924122930596e-05 4.32217858428991e-05 0.00168415018998785 993 0.512352619478811 0.608404244714058
"GM" 0.000922372117404165 0.000625140223465657 0.00255393138138757 0.00177474255732096 0.00580011822422428 993 -6.24576177121193 4.21739560817454e-10
"GU" 0.000235185957882591 0.000218839884796783 0.000449421874480158 0.000415913999307581 0.00302882383452324 993 -2.05036034567279 0.0403292798114187
"GY" 6.91425521165907e-05 6.81856446318821e-05 0.000176815025293825 0.000174408143629654 0.00109286576169431 993 -3.06284005817372 0.00219247209207649
"HA" 0.000154865272202025 0.000145458249430029 0.000127656988115381 0.000120895826489762 0.00212499956212157 993 0.364239452552335 0.715679208579647
